                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1358,                0.62055,                  1.145,                0.97642,                0.86345,                0.90948,                0.65458,                 1.0548,                0.48199,                 1.1974,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1165,                0.61221,                 1.1386,                0.96567,                0.86628,                0.90848,                0.66081,                 1.0115,                0.48607,                 1.1628,               0.001307,               0.001307,               0.001307
                     37,                 1.1015,                0.60719,                  1.132,                0.96882,                0.85318,                0.91689,                   0.68,                 1.0245,                0.47261,                 1.1783,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1145,                0.61361,                 1.1334,                 0.9634,                0.86475,                0.90216,                0.64537,                 1.0335,                0.48481,                 1.1867,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1066,                0.61308,                 1.1361,                0.95598,                0.85832,                0.90909,                0.65905,                 1.0412,                0.47694,                 1.1923,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1076,                0.59932,                 1.1299,                0.97527,                0.86448,                0.91546,                0.67067,                 1.0288,                0.45752,                 1.1783,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1124,                0.60299,                  1.134,                0.96972,                0.87166,                 0.9193,                0.68063,                 1.0305,                0.45673,                 1.1746,               0.001208,               0.001208,               0.001208
                     42,                 1.0913,                 0.5931,                 1.1149,                0.97175,                0.86858,                0.91113,                0.66287,                 1.0297,                 0.4585,                 1.1834,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1183,                 0.5904,                 1.1295,                0.97635,                0.86448,                 0.9177,                0.67876,                 1.0199,                 0.4476,                 1.1661,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0797,                0.58654,                 1.1178,                0.97033,                0.87166,                 0.9156,                0.67677,                 1.0142,                0.44874,                 1.1798,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0834,                0.58892,                 1.1248,                 0.9598,                0.87577,                0.91416,                0.64871,                 1.0839,                0.47532,                 1.2075,              0.0011288,              0.0011288,              0.0011288
                     46,                   1.09,                0.59264,                 1.1244,                0.96087,                0.88233,                0.91832,                 0.6792,                  1.003,                0.44805,                 1.1637,               0.001109,               0.001109,               0.001109
                     47,                 1.1032,                0.58399,                 1.1204,                0.96613,                0.87474,                0.91376,                0.67161,                 1.0206,                0.44714,                 1.1726,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0803,                0.58549,                 1.1139,                0.95628,                0.87166,                0.90865,                 0.6637,                 1.0229,                0.45863,                 1.1719,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0882,                0.57261,                 1.1186,                0.96494,                0.87589,                 0.9148,                0.67653,                 1.0114,                0.43998,                 1.1735,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0847,                0.57762,                 1.1161,                0.96618,                0.85832,                0.90975,                0.65986,                 1.0604,                 0.4625,                  1.209,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0754,                0.55926,                 1.1155,                0.97575,                0.86741,                0.91511,                0.65998,                 1.0391,                 0.4369,                 1.1864,                0.00101,                0.00101,                0.00101
                     52,                 1.0648,                 0.5639,                 1.1081,                0.97523,                0.87166,                0.91271,                0.66646,                 1.0107,                0.43897,                 1.1658,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0546,                0.57122,                 1.1036,                0.97341,                0.86858,                0.91127,                0.67038,                 1.0023,                0.43869,                 1.1717,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0722,                 0.5618,                  1.113,                0.97349,                  0.867,                0.91873,                0.67389,                 1.0253,                0.44196,                 1.1832,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0735,                  0.576,                 1.1134,                0.96922,                0.87372,                0.91582,                0.66881,                 1.0284,                0.44037,                 1.1819,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0596,                0.55848,                 1.1032,                0.97693,                0.86959,                0.92236,                0.68406,                 1.0091,                0.43141,                 1.1671,               0.000911,               0.000911,               0.000911
                     57,                 1.0462,                0.54226,                  1.095,                0.97919,                0.86937,                0.91717,                0.67616,                 1.0061,                0.43428,                 1.1738,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0686,                0.54798,                 1.1113,                0.97424,                 0.8809,                0.91959,                0.67323,                 1.0244,                0.42654,                 1.1791,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0261,                0.54286,                 1.0876,                0.97569,                 0.8614,                0.92577,                0.68663,                 1.0063,                0.42755,                 1.1745,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0417,                0.55003,                 1.0936,                0.97254,                 0.8655,                0.91628,                0.67707,                  1.014,                0.42127,                 1.1718,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0463,                0.55134,                 1.1083,                0.96745,                0.86858,                 0.9184,                0.67841,                 1.0157,                0.43675,                 1.1742,               0.000812,               0.000812,               0.000812
                     62,                  1.031,                0.54161,                 1.0898,                0.96863,                0.87885,                0.92117,                0.68177,                 1.0127,                0.42523,                 1.1679,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0283,                0.54306,                 1.0925,                0.97327,                0.86653,                 0.9159,                0.67074,                 1.0216,                0.43748,                 1.1708,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0382,                0.54577,                 1.0893,                0.97485,                0.87782,                0.91652,                0.67049,                 1.0272,                0.43101,                  1.176,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0282,                0.53204,                 1.0925,                0.97062,                0.88398,                 0.9172,                0.67364,                 1.0273,                 0.4153,                 1.1783,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0134,                0.52945,                 1.0836,                0.96842,                0.88153,                0.92355,                0.68727,                0.99494,                0.41545,                 1.1644,               0.000713,               0.000713,               0.000713
                     67,                 1.0257,                0.53948,                 1.0853,                0.97268,                0.87742,                0.92045,                0.67996,                 1.0063,                0.41268,                   1.17,              0.0006932,              0.0006932,              0.0006932
